id,wt,Prod1,Prod2,Prod3,Prod4,Prod5,Prod6,Prod7
1,1,1,1,0,1,1,1,0
2,1,1,1,0,1,0,0,1
3,1,1,1,0,0,0,0,0
4,1,1,1,1,0,0,0,0
5,1,1,1,0,0,1,1,1
6,1,1,0,1,0,0,0,1
7,1,1,0,1,0,0,0,0
8,1,1,0,1,0,0,0,1
9,1,1,0,0,0,1,0,1
10,1,0,0,1,0,1,0,1
11,1,0,0,0,0,1,0,1
12,1,0,1,0,0,1,0,1
13,1,0,0,1,1,0,0,1
14,1,1,0,1,1,0,0,1
15,1,1,0,1,1,0,0,0
16,1,0,0,0,1,1,0,1
17,1,0,0,0,1,1,0,0
18,1,0,0,0,1,1,0,0
19,1,0,0,0,1,1,0,0
20,1,0,0,0,1,1,0,0
21,1,1,0,0,0,0,1,0
22,1,1,0,0,0,0,1,0
23,1,1,0,0,0,0,1,0
24,1,1,0,0,0,0,1,1
25,1,1,0,0,0,0,1,1
26,1,1,0,0,0,0,1,1
27,1,0,0,0,0,0,1,1
28,1,0,0,0,0,1,1,0
29,1,0,0,1,1,1,0,0
30,1,1,1,1,0,0,0,0
